,DO_CONC_in,Hour,Date,DateTime,DO_SAT_in,DO_MAX_CONC_in,PPFD_hourly_sum_SIM,PPFD_hourly_sum_solarPy,Q_CMS,travel_time_HRS,area_M2,depth_M,T_air,t_water_daily,v_f,k600
118,5.500075332963673,21.0,1978-07-17,1978-07-17 22:00:00,59.16313988191979,9.29645611091796,0.0,0.0,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
119,5.527836101692867,22.0,1978-07-17,1978-07-17 23:00:00,59.46773118757537,9.295522111406534,0.0,0.0,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
120,5.547493133572792,23.0,1978-07-18,1978-07-18 00:00:00,59.68519601716591,9.294588111895104,0.0,0.0,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
121,5.557921275622494,0.0,1978-07-18,1978-07-18 01:00:00,58.49485028757565,9.501556544376694,0.0,0.0,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
122,5.559148471891702,1.0,1978-07-18,1978-07-18 02:00:00,58.53127013123596,9.497741052649722,0.0,0.0,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
123,5.552389873233151,2.0,1978-07-18,1978-07-18 03:00:00,58.50711775468033,9.490110069195785,0.0,0.0,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
124,5.539980628296556,3.0,1978-07-18,1978-07-18 04:00:00,58.39983760840332,9.486294577468811,0.0,0.1211708054036617,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
125,5.5252487176437,4.0,1978-07-18,1978-07-18 05:00:00,,9.48311500102967,0.0,362.2334421867633,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
126,5.512373278846284,5.0,1978-07-18,1978-07-18 06:00:00,,9.47993542459053,0.0,1019.305507905178,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
127,5.506274859193736,6.0,1978-07-18,1978-07-18 07:00:00,58.10295155243273,9.476755848151388,391.1411672920822,1463.0710912773134,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
128,5.512581856824337,7.0,1978-07-18,1978-07-18 08:00:00,58.187074115128326,9.473894229356164,1372.052064801242,1739.2842147915644,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
129,5.537712218977834,8.0,1978-07-18,1978-07-18 09:00:00,58.4876659261211,9.468170991765708,1726.4364114416956,1911.4961810535144,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
130,5.589101611485461,9.0,1978-07-18,1978-07-18 10:00:00,59.0601755237358,9.463401627106997,1993.1443884263176,2016.2114344609024,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
131,5.675599291840346,10.0,1978-07-18,1978-07-18 11:00:00,60.01654464911951,9.456724516584798,2136.1556055834176,2072.816390101269,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
132,5.808041489469592,11.0,1978-07-18,1978-07-18 12:00:00,61.42944522685333,9.454816770721314,1708.9244844667342,2090.742777427706,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
133,6.000000000006748,12.0,1978-07-18,1978-07-18 13:00:00,63.5238049500017,9.44527804140389,1594.5155107410544,2072.816390101269,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
134,6.149664243116843,13.0,1978-07-18,1978-07-18 14:00:00,,9.437647057949947,1035.8618468650172,2016.2114344609024,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
135,6.289575355123773,14.0,1978-07-18,1978-07-18 15:00:00,66.69739802601472,9.43001607449601,548.8208259204969,1911.4961810535144,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
136,6.4112036344437975,15.0,1978-07-18,1978-07-18 16:00:00,68.00783486226662,9.427154455700782,586.7117509381234,1739.2842147915644,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,17.9,0.8514888475325058,1.9151006202565521
